id,case_number,date_time,latitude,longitude,type,place_description,police_district
13237238,JG456157,2023-10-08 21:52:00,41.859036393,-87.709650307,RECKLESS FIREARM DISCHARGE,STREET,010
13237390,JG456310,2023-10-09 02:14:00,41.84992908,-87.706787806,RECKLESS FIREARM DISCHARGE,STREET,010
13241621,JG457473,2023-10-09 21:29:00,41.784949798,-87.70573052,RECKLESS FIREARM DISCHARGE,STREET,008
13239467,JG458851,2023-10-10 22:38:00,41.921310208,-87.724234446,RECKLESS FIREARM DISCHARGE,ALLEY,025
13239420,JG458810,2023-10-10 21:44:00,41.799176392,-87.651360887,RECKLESS FIREARM DISCHARGE,STREET,009
13238388,JG457582,2023-10-10 02:10:00,41.865453392,-87.719500335,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),010
13239444,JG458842,2023-10-10 22:59:00,41.910517352,-87.748018628,RECKLESS FIREARM DISCHARGE,ALLEY,025
13239841,JG459322,2023-10-10 19:41:00,41.897280088,-87.756885124,RECKLESS FIREARM DISCHARGE,ALLEY,015
13239769,JG459288,2023-10-11 10:45:00,41.774873231,-87.661652469,RECKLESS FIREARM DISCHARGE,SIDEWALK,007
13239693,JG459141,2023-10-11 08:23:00,41.849885613,-87.692936274,RECKLESS FIREARM DISCHARGE,STREET,010
13239528,JG458945,2023-10-11 02:37:00,41.76393165,-87.702801419,RECKLESS FIREARM DISCHARGE,STREET,008
13240559,JG460272,2023-10-12 02:53:00,41.746528449,-87.611162171,RECKLESS FIREARM DISCHARGE,STREET,006
13240787,JG460481,2023-10-12 08:49:00,41.883696739,-87.728209042,RECKLESS FIREARM DISCHARGE,STREET,011
13240599,JG460282,2023-10-12 04:15:00,41.683959196,-87.61750007,RECKLESS FIREARM DISCHARGE,STREET,005
13240551,JG460257,2023-10-12 02:16:00,41.935717556,-87.71911369,RECKLESS FIREARM DISCHARGE,SIDEWALK,025
13240917,JG460712,2023-10-12 12:02:00,41.815183582,-87.633535198,RECKLESS FIREARM DISCHARGE,STREET,009
13241636,JG461526,2023-10-13 02:24:00,41.772367279,-87.607008514,RECKLESS FIREARM DISCHARGE,STREET,003
13242353,JG462427,2023-10-13 17:45:00,41.808065217,-87.673461524,RECKLESS FIREARM DISCHARGE,STREET,009
13243016,JG463208,2023-10-13 22:00:00,41.833532944,-87.685180682,RECKLESS FIREARM DISCHARGE,STREET,009
13248700,JG447476,2023-09-01 19:04:00,41.740432213,-87.666833487,RECKLESS FIREARM DISCHARGE,ALLEY,006
13242617,JG462765,2023-10-14 00:36:00,41.845537336,-87.711161395,RECKLESS FIREARM DISCHARGE,STREET,010
